date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20130124,2013-01-24,2013,1,1,24,January,Thursday,03,4
20130125,2013-01-25,2013,1,1,25,January,Friday,03,4
20130126,2013-01-26,2013,1,1,26,January,Saturday,03,4
20130127,2013-01-27,2013,1,1,27,January,Sunday,04,4
20130128,2013-01-28,2013,1,1,28,January,Monday,04,4
20130129,2013-01-29,2013,1,1,29,January,Tuesday,04,5
20130130,2013-01-30,2013,1,1,30,January,Wednesday,04,5
20130131,2013-01-31,2013,1,1,31,January,Thursday,04,5
20130201,2013-02-01,2013,1,2,1,February,Friday,04,1
20130202,2013-02-02,2013,1,2,2,February,Saturday,04,1
20130203,2013-02-03,2013,1,2,3,February,Sunday,05,1
20130204,2013-02-04,2013,1,2,4,February,Monday,05,1
20130205,2013-02-05,2013,1,2,5,February,Tuesday,05,1
20130206,2013-02-06,2013,1,2,6,February,Wednesday,05,1
20130207,2013-02-07,2013,1,2,7,February,Thursday,05,1
20130208,2013-02-08,2013,1,2,8,February,Friday,05,2
20130209,2013-02-09,2013,1,2,9,February,Saturday,05,2
20130210,2013-02-10,2013,1,2,10,February,Sunday,06,2
20130211,2013-02-11,2013,1,2,11,February,Monday,06,2
20130212,2013-02-12,2013,1,2,12,February,Tuesday,06,2
20130213,2013-02-13,2013,1,2,13,February,Wednesday,06,2
20130214,2013-02-14,2013,1,2,14,February,Thursday,06,2
20130215,2013-02-15,2013,1,2,15,February,Friday,06,3
20130216,2013-02-16,2013,1,2,16,February,Saturday,06,3
20130217,2013-02-17,2013,1,2,17,February,Sunday,07,3
20130218,2013-02-18,2013,1,2,18,February,Monday,07,3
20130219,2013-02-19,2013,1,2,19,February,Tuesday,07,3
20130220,2013-02-20,2013,1,2,20,February,Wednesday,07,3
20130221,2013-02-21,2013,1,2,21,February,Thursday,07,3
20130222,2013-02-22,2013,1,2,22,February,Friday,07,4
20130223,2013-02-23,2013,1,2,23,February,Saturday,07,4
20130224,2013-02-24,2013,1,2,24,February,Sunday,08,4
20130225,2013-02-25,2013,1,2,25,February,Monday,08,4
20130226,2013-02-26,2013,1,2,26,February,Tuesday,08,4
20130227,2013-02-27,2013,1,2,27,February,Wednesday,08,4
20130228,2013-02-28,2013,1,2,28,February,Thursday,08,4
20130301,2013-03-01,2013,1,3,1,March,Friday,08,1
20130302,2013-03-02,2013,1,3,2,March,Saturday,08,1
20130303,2013-03-03,2013,1,3,3,March,Sunday,09,1
20130304,2013-03-04,2013,1,3,4,March,Monday,09,1
20130305,2013-03-05,2013,1,3,5,March,Tuesday,09,1
20130306,2013-03-06,2013,1,3,6,March,Wednesday,09,1
20130307,2013-03-07,2013,1,3,7,March,Thursday,09,1
20130308,2013-03-08,2013,1,3,8,March,Friday,09,2
20130309,2013-03-09,2013,1,3,9,March,Saturday,09,2
20130310,2013-03-10,2013,1,3,10,March,Sunday,10,2
20130311,2013-03-11,2013,1,3,11,March,Monday,10,2
20130312,2013-03-12,2013,1,3,12,March,Tuesday,10,2
20130313,2013-03-13,2013,1,3,13,March,Wednesday,10,2
20130314,2013-03-14,2013,1,3,14,March,Thursday,10,2
