location_id,borough,street,location
118,FHA,207TH STREET,110-16 207TH STREET
119,QUEENS,,BLD 13
120,FHA,FARMERS BOULEVARD,105-36 FARMERS BOULEVARD
121,FHA,111TH AVENUE,174-16 111TH AVENUE
122,MANHATTAN,,BLD 18
123,FHA,146TH STREET,119-01 146TH STREET
124,FHA,EAST 91ST STREET,140 EAST 91ST STREET
125,BRONX,LONGFELLOW AVE,1091 LONGFELLOW AVE
126,FHA,FARMERS BOULEVARD,116-31 FARMERS BOULEVARD
127,BROOKLYN,,BLD 16
128,FHA,230TH PLACE,138-17 230TH PLACE
129,FHA,120TH AVENUE,191-18 120TH AVENUE
130,FHA,BEACH 12TH STREET,1502 BEACH 12TH STREET
131,FHA,204TH STREET,118-03 204TH STREET
132,BROOKLYN,,BLD 18
133,FHA,198TH STREET,114-44 198TH STREET
134,BRONX,,
135,MANHATTAN,,BLD 08 - Community Center
136,FHA,114TH DRIVE,194-17 114TH DRIVE
137,QUEENS,,BLD 12
138,BROOKLYN,,BLD 10
139,BRONX,,BLD 31 - Community Center
140,FHA,ATKINS AVENUE,458 ATKINS AVENUE
141,FHA,FRANCIS LEWIS BOULEVARD,100-38 FRANCIS LEWIS BOULEVARD
142,QUEENS,,BLD 17
143,BROOKLYN,,BLD 2
144,BRONX,,BLD 07
145,MANHATTAN,,BLD 08
146,BROOKLYN,,BLD 09
147,FHA,KEESEVILLE AVENUE,187-24 KEESEVILLE AVENUE
148,FHA,EFFINGHAM AVENUE,447 EFFINGHAM AVENUE
149,MANHATTAN,,BLD 02
150,FHA,112TH AVENUE,205-20 112TH AVENUE
151,FHA,209TH STREET,104-28 209TH STREET
152,FHA,164TH PLACE,108-15 164TH PLACE
153,FHA,147TH STREET,115-52 147TH STREET
154,BROOKLYN,,BLD 11
155,QUEENS,,BLD 22
156,FHA,112TH AVENUE,215-32 112TH AVENUE
157,MANHATTAN,,BLD 25
158,BROOKLYN,,BLD 08
159,FHA,204TH STREET,117-17 204TH STREET
160,MANHATTAN,,BLD 27
161,QUEENS,,BLD 16
162,FHA,119TH AVENUE,218-34 119TH AVENUE
163,BROOKLYN,,BLD 35
164,FHA,135TH PLACE,131-41 135TH PLACE
165,BRONX,,BLD 09 - Community Center
166,FHA,156TH STREET,111-46 156TH STREET
167,FHA,143RD ROAD,173-09 143RD ROAD
168,FHA,BAISLEY BOULEVARD,178-14 BAISLEY BOULEVARD
169,FHA,205TH STREET,113-32 205TH STREET
170,FHA,208TH STREET,115-27 208TH STREET
171,FHA,210TH STREET,115-22 210TH STREET
172,MANHATTAN,,BLD 32
173,FHA,178TH STREET,120-26 178TH STREET
174,FHA,200TH STREET,114-42 200TH STREET
175,BROOKLYN,,BLD 29
176,FHA,203RD STREET,104-33 203RD STREET
177,FHA,WAVERLY AVENUE,71 WAVERLY AVENUE
178,BROOKLYN,,BLD 24 - Community Center
179,BROOKLYN,,BLD 12
180,FHA,187TH STREET,102-36 187TH STREET
181,FHA,LEWISTON AVENUE,188-23 LEWISTON AVENUE
182,MANHATTAN,,BLD 13
183,QUEENS,,BLD 14
184,FHA,102ND AVENUE,138-20 102ND AVENUE
185,FHA,171ST PLACE,105-11 171ST PLACE
186,FHA,133RD AVENUE,148-06 133RD AVENUE
187,FHA,199TH STREET,118-15 199TH STREET
188,MANHATTAN,,BLD 07
189,FHA,207TH STREET,111-27 207TH STREET
190,FHA,DOUGLASS STREET,367 DOUGLASS STREET
191,FHA,148TH STREET,133-11 148TH STREET
192,QUEENS,,BLD 26
193,FHA,BERRIMAN STREET,341 BERRIMAN STREET
194,BROOKLYN,,BLD 13
195,BROOKLYN,,BLD 28
196,BROOKLYN,,BLD 25 - Community Center
197,BROOKLYN,,BLD 26 - Community Center
198,MANHATTAN,,BLD 03 - Community Center
199,FHA,225TH STREET,110-05 225TH STREET
200,FHA,BERRIMAN STREET,359 BERRIMAN STREET
201,FHA,196TH STREET,113-14 196TH STREET
202,FHA,BENNETT COURT,132-19 BENNETT COURT
203,FHA,109TH ROAD,139-10 109TH ROAD
204,FHA,196TH STREET,111-19 196TH STREET
205,FHA,MURDOCK AVENUE,219-30 MURDOCK AVENUE
206,FHA,WESTGATE STREET,137-22 WESTGATE STREET
207,FHA,116TH AVENUE,165-17 116TH AVENUE
208,FHA,FOCH BOULEVARD,142-06 FOCH BOULEVARD
209,FHA,143RD STREET,117-11 143RD STREET
210,FHA,130TH STREET,114-11 130TH STREET
211,FHA,135TH PLACE,133-24 135TH PLACE
212,FHA,NASHVILLE BOULEVARD,209-26 NASHVILLE BOULEVARD
213,FHA,215TH STREET,106-10 215TH STREET
214,FHA,116TH AVENUE,202-06 116TH AVENUE
215,BROOKLYN,,BLD 21 - Community Center
216,FHA,HOLLIS AVENUE,214-15 HOLLIS AVENUE
217,FHA,WITTHOFF STREET,111-50 WITTHOFF STREET
218,FHA,116TH AVENUE,198-16 116TH AVENUE
219,FHA,116TH AVENUE,126-01 116TH AVENUE
220,FHA,205TH STREET,111-20 205TH STREET
221,FHA,NASHVILLE BOULEVARD,213-34 NASHVILLE BOULEVARD
222,FHA,194TH STREET,99-19 194TH STREET
223,BRONX,,Lot
224,FHA,176TH STREET,146-23 176TH STREET
225,FHA,105TH AVENUE,143-03 105TH AVENUE
226,FHA,166TH STREET,114-22 166TH STREET
227,FHA,BERRIMAN STREET,349 BERRIMAN STREET
228,FHA,SPRINGFIELD BOULEVARD,113-44 SPRINGFIELD BOULEVARD
229,FHA,WAVERLY AVENUE,110 WAVERLY AVENUE
230,FHA,219TH STREET,119-12 219TH STREET
231,FHA,166TH STREET,144-23 166TH STREET
232,FHA,153RD STREET,118-35 153RD STREET
233,FHA,BAYFIELD AVENUE,69-33 BAYFIELD AVENUE
234,FHA,105TH AVENUE,144-29 105TH AVENUE
235,FHA,146TH STREET,114-34 146TH STREET
236,MANHATTAN,,BLD 41
237,MANHATTAN,,BLD 39
238,MANHATTAN,,BLD 42
239,MANHATTAN,,BLD 43
240,FHA,200TH STREET,115-21 200TH STREET
241,BROOKLYN,,BLD 51
242,BRONX,,BLD 05 - Community Center
243,BRONX,,BLD 02-03
244,MANHATTAN,,BLD 17
245,MANHATTAN,,BLD 31
246,MANHATTAN,,BLD 33
247,MANHATTAN,,BLD 06
248,MANHATTAN,,BLD 09
249,MANHATTAN,,BLD 26
250,MANHATTAN,,BLD 22
251,BROOKLYN,,BLD 5
252,MANHATTAN,,BLD 35
253,BRONX,,BLD 13
254,MANHATTAN,,BLD 29
255,MANHATTAN,,BLD 34
256,MANHATTAN,,BLD 45
257,BROOKLYN,,BLD 24
258,MANHATTAN,,BLD 37
259,QUEENS,,BLD 02
260,FHA,VAN WYCK EXPRESSWAY,133-16 VAN WYCK EXPRESSWAY
261,FHA,147TH STREET,115-41 147TH STREET
262,FHA,SUTTER AVENUE,147-06 SUTTER AVENUE
263,FHA,PRINCETON STREET,107-34 PRINCETON STREET
264,FHA,110TH AVENUE,167-08 110TH AVENUE
265,FHA,135TH STREET,129-59 135TH STREET
266,FHA,135TH STREET,129-41 135TH STREET
267,FHA,SUTTER AVENUE,131-15 SUTTER AVENUE
268,FHA,135TH PLACE,129-23 135TH PLACE
269,FHA,135TH STREET,117-31 135TH STREET
270,FHA,168TH PLACE,89-24 168TH PLACE
271,FHA,118TH AVENUE,150-22 118TH AVENUE
272,FHA,139TH STREET,116-02 139TH STREET
273,FHA,134TH STREET,133-18 134TH STREET
274,FHA,113TH AVENUE,210-35 113TH AVENUE
275,FHA,149TH STREET,130-16 149TH STREET
276,FHA,187TH STREET,102-47 187TH STREET
277,FHA,135TH PLACE,130-15 135TH PLACE
278,BROOKLYN,,BLD 38
279,FHA,119TH AVENUE,236-11 119TH AVENUE
280,FHA,EAST 45TH STREET,105 EAST 45TH STREET
281,FHA,187TH STREET,104-17 187TH STREET
282,FHA,225TH STREET,131-68 225TH STREET
283,FHA,208TH STREET,109-11 208TH STREET
284,FHA,140TH AVENUE,218-38 140TH AVENUE
285,FHA,MENTONE AVENUE,228-39 MENTONE AVENUE
286,FHA,167TH STREET,145-07 167TH STREET
287,FHA,SCHENECTADY AVENUE,556 SCHENECTADY AVENUE
288,FHA,152ND STREET,123-25 152ND STREET
289,FHA,119TH AVENUE,195-09 119TH AVENUE
290,FHA,REMINGTON STREET,107-16 REMINGTON STREET
291,FHA,LENOX ROAD,978 LENOX ROAD
292,FHA,123RD AVENUE,146-10 123RD AVENUE
293,FHA,131ST AVENUE,221-02 131ST AVENUE
294,FHA,224TH STREET,115-69 224TH STREET
295,FHA,132ND STREET,101-64 132ND STREET
296,FHA,201ST STREET,113-10 201ST STREET
297,FHA,205TH STREET,111-33 205TH STREET
298,FHA,138TH PLACE,91-09 138TH PLACE
299,FHA,116TH AVENUE,197-18 116TH AVENUE
300,FHA,208TH STREET,89-55 208TH STREET
301,FHA,162ND STREET,80-44 162ND STREET
302,FHA,118TH ROAD,190-01 118TH ROAD
303,FHA,FOCH BOULEVARD,186-20 FOCH BOULEVARD
304,FHA,BAISLEY BOULEVARD,177-48 BAISLEY BOULEVARD
305,FHA,118TH ROAD,168-31 118TH ROAD
306,FHA,158TH STREET,144-41 158TH STREET
307,FHA,119TH AVENUE,168-32 119TH AVENUE
308,FHA,208TH STREET,114-26 208TH STREET
309,FHA,204TH STREET,117-27 204TH STREET
310,FHA,115TH DRIVE,190-17 115TH DRIVE
311,FHA,119TH AVENUE,198-14 119TH AVENUE
312,FHA,120TH AVENUE,177-19 120TH AVENUE
313,FHA,119TH ROAD,171-48 119TH ROAD
314,FHA,164TH PLACE,110-39 164TH PLACE
315,FHA,111TH AVENUE,223-19 111TH AVENUE
316,FHA,223RD STREET,133-22 223RD STREET
317,FHA,131ST STREET,109-38 131ST STREET
318,FHA,203RD STREET,99-19 203RD STREET
319,FHA,109TH ROAD,190-17 109TH ROAD
320,FHA,111TH AVENUE,202-02 111TH AVENUE
321,FHA,104TH AVENUE,192-07 104TH AVENUE
322,FHA,BENTON STREET,121-28 BENTON STREET
323,FHA,173RD STREET,115-32 173RD STREET
324,FHA,111TH AVENUE,134-19 111TH AVENUE
325,FHA,123RD AVENUE,145-03 123RD AVENUE
326,FHA,149TH STREET,114-34 149TH STREET
327,FHA,208TH STREET,112-23 208TH STREET
328,FHA,229TH STREET,145-12 229TH STREET
329,FHA,112TH AVENUE,190-41 112TH AVENUE
330,FHA,211TH STREET,94-29 211TH STREET
331,FHA,207TH STREET,111-33 207TH STREET
332,FHA,WOODHULL AVENUE,193-10 WOODHULL AVENUE
333,FHA,221ST STREET,136-15 221ST STREET
334,FHA,220TH STREET,105-12 220TH STREET
335,FHA,176TH STREET,109-40 176TH STREET
336,FHA,202ND STREET,100-40 202ND STREET
337,FHA,210TH STREET,109-16 210TH STREET
338,FHA,172ND STREET,110-17 172ND STREET
339,FHA,EAST 91ST STREET,82 EAST 91ST STREET
340,FHA,209th Street,113-20 209th Street
341,FHA,147TH AVENUE,182-09 147TH AVENUE
342,FHA,139TH STREET,107-38 139TH STREET
343,FHA,212TH STREET,111-21 212TH STREET
344,QUEENS,,BLD 03
345,QUEENS,,BLD 05
346,QUEENS,,BLD 04
347,QUEENS,,BLD 08
348,QUEENS,,BLD 10
349,QUEENS,,BLD 07
